iso3,year_window,category,total_event_count,goldstein_wavg,tone_wavg
BGD,2000,Aid/Cooperation,787,2.69854002541296,5.75315374841169
BGD,2000,Conflict/Migration,232,-9.876987068965516,4.259978448275862
BGD,2000,Disapproval/Sanction,374,-2.8717326203208557,5.604336898395721
BGD,2000,Other,1192,1.246353187919463,5.6095
BGD,2000,Protest,34,-5.517470588235294,4.618
BGD,2005,Aid/Cooperation,871,2.8354408725602758,5.634955223880596
BGD,2005,Conflict/Migration,207,-9.77049275362319,4.048502415458937
BGD,2005,Disapproval/Sanction,402,-2.987542288557214,5.491104477611941
BGD,2005,Other,1615,0.8242687306501548,5.349939318885449
BGD,2005,Protest,46,-4.656521739130436,5.76804347826087
BGD,2010,Aid/Cooperation,19225,3.0851559947984395,5.833573836150845
BGD,2010,Conflict/Migration,5501,-9.767041265224506,3.9178763861116157
BGD,2010,Disapproval/Sanction,6153,-2.8871922639362912,5.022085161709735
BGD,2010,Other,33790,1.2753736312518495,5.310710417283221
BGD,2010,Protest,772,-4.914432642487046,4.915040155440415
BGD,2015,Aid/Cooperation,32859,2.9510398977449097,3.8463448065978882
BGD,2015,Conflict/Migration,6755,-9.772036269430053,2.8620016284233905
BGD,2015,Disapproval/Sanction,8534,-2.953366182329505,3.2006696742441996
BGD,2015,Other,50649,1.5098235503168869,3.4220820944145
BGD,2015,Protest,1154,-4.799653379549394,2.685522530329289
BGD,2020,Aid/Cooperation,39730,2.9593463377800155,0.7319108482255222
BGD,2020,Conflict/Migration,3702,-9.788017828200974,-2.9721307401404644
BGD,2020,Disapproval/Sanction,8697,-3.083523053926641,-1.5764522249051398
BGD,2020,Other,53158,1.8433599458218897,-0.6454392753677716
BGD,2020,Protest,1208,-4.755137417218543,-2.545872516556291
BGD,2024,Aid/Cooperation,27003,2.951649001962745,1.453234862793023
BGD,2024,Conflict/Migration,2138,-9.81233395696913,-2.498752572497662
BGD,2024,Disapproval/Sanction,5214,-3.0899888761028005,-1.5046238971998465
BGD,2024,Other,33108,2.0537006161652775,-0.07874075752084085
BGD,2024,Protest,1022,-4.73551663405088,-1.5981232876712328
BRA,2000,Aid/Cooperation,36727,3.1604525008849076,5.531624880877828
BRA,2000,Conflict/Migration,3926,-9.818130412633723,3.9958178807947022
BRA,2000,Disapproval/Sanction,7969,-3.100689672480863,5.284939013678002
BRA,2000,Other,38914,2.1283943310890683,5.211218327594182
BRA,2000,Protest,778,-5.214088688946015,5.267133676092545
BRA,2005,Aid/Cooperation,36701,2.9828639001662083,5.860659954769625
BRA,2005,Conflict/Migration,5551,-9.851693388578635,3.7224768510178348
BRA,2005,Disapproval/Sanction,7102,-3.0119031258800337,5.347855392847085
BRA,2005,Other,38467,1.7623945719707799,5.402921933085501
BRA,2005,Protest,817,-5.133697674418605,5.351449204406364
BRA,2010,Aid/Cooperation,130927,3.1124329206351633,5.18064089148915
BRA,2010,Conflict/Migration,17233,-9.846597980618581,4.004998839435966
BRA,2010,Disapproval/Sanction,26523,-3.010369980771406,4.830440938053765
BRA,2010,Other,175635,1.7248457198166651,4.487165394141259
BRA,2010,Protest,3137,-5.15008798214855,4.922030283710552
BRA,2015,Aid/Cooperation,238697,3.0231622642932257,3.0238709409837576
BRA,2015,Conflict/Migration,33843,-9.834096090772094,1.041587595662323
BRA,2015,Disapproval/Sanction,57969,-2.9547434835860544,1.4918266487260432
BRA,2015,Other,316558,1.9184179834343156,2.168790780836371
BRA,2015,Protest,6598,-4.958356471658079,1.53996059411943
BRA,2020,Aid/Cooperation,335589,3.0273154364415995,-1.2170938230990884
BRA,2020,Conflict/Migration,67098,-9.82226513457927,-4.678509076276491
BRA,2020,Disapproval/Sanction,113795,-2.908753697438376,-3.475605685662815
BRA,2020,Other,507408,1.5217161022293695,-2.3743454852899437
BRA,2020,Protest,15263,-5.019444342527681,-3.7482116228788573
BRA,2024,Aid/Cooperation,211051,3.0291905416226412,-0.5023498443504177
BRA,2024,Conflict/Migration,31974,-9.844374741977857,-4.277066804278476
BRA,2024,Disapproval/Sanction,53010,-2.915883965289568,-2.970857083569138
BRA,2024,Other,261681,1.6511830472980462,-1.8190544670801474
BRA,2024,Protest,7034,-4.979181546772818,-3.3105386693204437
BRN,2000,Aid/Cooperation,2720,3.1044963235294114,6.078740073529412
BRN,2000,Conflict/Migration,218,-9.759426605504586,4.276059633027523
BRN,2000,Disapproval/Sanction,469,-3.0276950959488276,5.071727078891258
BRN,2000,Other,2313,1.5824245568525726,5.425335927367056
BRN,2000,Protest,38,-5.026552631578948,4.801394736842106
BRN,2005,Aid/Cooperation,5230,3.0985762906309753,5.9699181644359465
BRN,2005,Conflict/Migration,457,-9.840374179431072,4.460533916849015
BRN,2005,Disapproval/Sanction,1096,-3.1439790145985396,5.321821167883212
BRN,2005,Other,5335,1.5357851921274603,5.444318837863168
BRN,2005,Protest,111,-5.048522522522522,5.043009009009009
BRN,2010,Aid/Cooperation,8132,2.9445336940482045,6.43683448106247
BRN,2010,Conflict/Migration,795,-9.672542138364781,4.753241509433963
BRN,2010,Disapproval/Sanction,1179,-2.997944868532655,5.424650551314674
BRN,2010,Other,8121,1.9645869966752862,6.247160817633296
BRN,2010,Protest,167,-4.802544910179641,5.684958083832337
BRN,2015,Aid/Cooperation,27916,2.9310908439604524,2.6272304771457224
BRN,2015,Conflict/Migration,4699,-9.786969142370715,-0.5494967014258351
BRN,2015,Disapproval/Sanction,5696,-2.9701630969101123,1.379955231741573
BRN,2015,Other,34251,1.4699127616711918,1.2177653499167909
BRN,2015,Protest,1158,-5.038868739205527,0.46990673575129516
BRN,2020,Aid/Cooperation,52558,2.902183530575745,-0.252594695384147
BRN,2020,Conflict/Migration,10436,-9.694494921425834,-5.339355021080873
BRN,2020,Disapproval/Sanction,13205,-2.9185568345323745,-2.5308960999621357
BRN,2020,Other,66238,1.0890975572933965,-1.7729485491711705
BRN,2020,Protest,1861,-5.073613648576034,-3.179312735088662
BRN,2024,Aid/Cooperation,33462,2.936528181220489,0.09012665112665112
BRN,2024,Conflict/Migration,5576,-9.746091642754665,-5.143705882352942
BRN,2024,Disapproval/Sanction,7758,-2.969156999226605,-2.4849486981180715
BRN,2024,Other,39507,0.8054666008555447,-1.8631235477257198
BRN,2024,Protest,1129,-4.899490699734278,-3.2676102745792734
CAN,2000,Aid/Cooperation,43749,3.124193970147889,5.791329584676221
CAN,2000,Conflict/Migration,4470,-9.7855774049217,4.435151901565995
CAN,2000,Disapproval/Sanction,8985,-3.0093432387312187,5.248639955481358
CAN,2000,Other,48115,1.679638075444248,5.367920856281825
CAN,2000,Protest,1001,-5.161879120879121,5.211843156843156
CAN,2005,Aid/Cooperation,45525,3.011296430532674,5.954343701263043
CAN,2005,Conflict/Migration,6988,-9.811492987979392,4.437124212936463
CAN,2005,Disapproval/Sanction,12206,-2.9610508766180565,5.384197689660823
CAN,2005,Other,61505,1.478568490366637,5.551849264287457
CAN,2005,Protest,1816,-5.186234030837005,5.364443832599118
CAN,2010,Aid/Cooperation,487459,2.967797281412386,6.289335295891552
CAN,2010,Conflict/Migration,108036,-9.80409880965604,4.4319645488540855
CAN,2010,Disapproval/Sanction,147970,-2.9430824491450966,5.421980496046496
CAN,2010,Other,797136,1.8412144401959014,5.922751329760542
CAN,2010,Protest,20040,-4.970825149700598,5.286256437125749
CAN,2015,Aid/Cooperation,1425569,2.9211836291333495,2.890379281536004
CAN,2015,Conflict/Migration,276012,-9.791987301276755,1.0351778908163414
CAN,2015,Disapproval/Sanction,420869,-2.9738606383458985,1.8568772539673866
CAN,2015,Other,2231106,1.8562344164732647,2.313655765346873
CAN,2015,Protest,59475,-4.995037175283733,1.5900422530474991
CAN,2020,Aid/Cooperation,2479904,2.9321345084325845,-0.27133906877040403
CAN,2020,Conflict/Migration,446286,-9.770515929247164,-3.8082486253209824
CAN,2020,Disapproval/Sanction,704009,-2.96677311369599,-2.339735764741644
CAN,2020,Other,3839844,1.9239388532450794,-1.3400559673778414
CAN,2020,Protest,104731,-4.959458641662927,-2.745991645262625
CAN,2024,Aid/Cooperation,1332473,2.919146240861916,-0.23291619192283827
CAN,2024,Conflict/Migration,256391,-9.772014926420974,-3.7920434141604034
CAN,2024,Disapproval/Sanction,378502,-2.9565209800740817,-2.4373457577502893
CAN,2024,Other,2086939,1.76070798331911,-1.403391187763514
CAN,2024,Protest,57808,-4.8930265534182125,-2.8233666966509827
CHN,2000,Aid/Cooperation,3221,3.496370381868985,5.2271552312946294
CHN,2000,Conflict/Migration,510,-9.808676470588235,4.015986274509804
CHN,2000,Disapproval/Sanction,1022,-3.4921379647749506,5.084794520547945
CHN,2000,Other,3179,1.3780100660585088,4.8936011324315825
CHN,2000,Protest,93,-5.178569892473119,4.709924731182796
CHN,2005,Aid/Cooperation,2200,3.1304213636363634,5.1612540909090905
CHN,2005,Conflict/Migration,242,-9.834913223140497,3.293764462809918
CHN,2005,Disapproval/Sanction,505,-2.970350495049505,4.67149900990099
CHN,2005,Other,2493,0.9778596068993182,4.66626634576815
CHN,2005,Protest,58,-4.813948275862069,5.669379310344828
CHN,2010,Aid/Cooperation,4221,3.051174366263918,5.271181710495143
CHN,2010,Conflict/Migration,627,-9.750377990430621,3.695497607655503
CHN,2010,Disapproval/Sanction,1053,-3.0561301044634375,4.2908423551756885
CHN,2010,Other,5043,1.4091072774142372,4.48035514574658
CHN,2010,Protest,135,-5.2991777777777775,3.944037037037037
CHN,2015,Aid/Cooperation,2475,3.268080808080808,3.6534654545454543
CHN,2015,Conflict/Migration,341,-9.848979472140762,1.8234486803519063
CHN,2015,Disapproval/Sanction,410,-2.953887804878049,1.452682926829268
CHN,2015,Other,2207,1.4549379247847756,2.4217063887630266
CHN,2015,Protest,66,-5.018121212121212,-0.7162424242424243
CHN,2020,Aid/Cooperation,3276,3.059510073260073,0.12493864468864464
CHN,2020,Conflict/Migration,478,-9.856508368200837,-5.755303347280336
CHN,2020,Disapproval/Sanction,823,-2.944051032806805,-4.543832320777644
CHN,2020,Other,4292,0.8840999534016775,-2.2869200838769808
CHN,2020,Protest,164,-4.7976829268292684,-5.287804878048781
CHN,2024,Aid/Cooperation,3346,3.0859327555289897,0.8569488942020324
CHN,2024,Conflict/Migration,225,-9.849146666666666,-4.668346666666666
CHN,2024,Disapproval/Sanction,533,-3.043187617260788,-3.670003752345216
CHN,2024,Other,3238,1.8365991352686841,-1.1481470043236566
CHN,2024,Protest,50,-4.9477199999999995,-4.9759199999999995
COL,2000,Aid/Cooperation,45495,3.1895207825035716,5.6899360589075725
COL,2000,Conflict/Migration,17973,-9.803869860346076,3.9000470149668947
COL,2000,Disapproval/Sanction,13318,-2.96522901336537,5.174607748911248
COL,2000,Other,55220,1.5636954907642155,5.333367928286853
COL,2000,Protest,1949,-5.263876346844536,5.200743458183684
COL,2005,Aid/Cooperation,48214,3.2360756626705935,5.78170288712822
COL,2005,Conflict/Migration,23111,-9.805166587339363,4.063211111591883
COL,2005,Disapproval/Sanction,15262,-2.847347136679334,5.133403944437164
COL,2005,Other,62128,1.3892797772340972,5.357666028199846
COL,2005,Protest,2458,-5.316617575264442,5.118410903173312
COL,2010,Aid/Cooperation,89783,3.1473562923938827,5.76383151598855
COL,2010,Conflict/Migration,32802,-9.761622401073106,4.588968294616182
COL,2010,Disapproval/Sanction,25876,-2.785869570258154,5.236463672901531
COL,2010,Other,132256,1.6363888897290104,5.001208247640938
COL,2010,Protest,3484,-5.319756888633754,5.135115671641789
COL,2015,Aid/Cooperation,137199,3.3191131713788,2.822451067427605
COL,2015,Conflict/Migration,39074,-9.821452116496904,1.2724444387572302
COL,2015,Disapproval/Sanction,34935,-2.8460007728638903,1.841210419350222
COL,2015,Other,177454,1.5803895262997734,2.244452032639445
COL,2015,Protest,4147,-5.309868097419821,1.6425874125874123
COL,2020,Aid/Cooperation,181324,3.314782428139684,-1.3619559738368887
COL,2020,Conflict/Migration,41636,-9.816452469017197,-4.523876092804303
COL,2020,Disapproval/Sanction,47760,-2.926734380234506,-3.521931113902848
COL,2020,Other,219561,1.6393700793856836,-2.5181169834351276
COL,2020,Protest,6772,-5.219869462492617,-3.7814929119905494
COL,2024,Aid/Cooperation,88985,3.139369028487948,-1.0422938922290275
COL,2024,Conflict/Migration,21458,-9.839133004007829,-5.197506384565197
COL,2024,Disapproval/Sanction,22041,-2.7859775418538177,-4.078817204301076
COL,2024,Other,106949,1.367355468494329,-2.63591175233055
COL,2024,Protest,3083,-5.080566007135907,-4.120250081089847
CUB,2000,Aid/Cooperation,70214,2.951156393311875,6.224545190417865
CUB,2000,Conflict/Migration,3790,-9.8535635883905,5.301424274406333
CUB,2000,Disapproval/Sanction,11229,-2.9565595333511445,5.750823938017633
CUB,2000,Other,52798,1.6512387590439033,5.86286984355468
CUB,2000,Protest,1132,-5.068940812720848,5.621292402826856
CUB,2005,Aid/Cooperation,59542,2.8737716905713615,6.3875004534614215
CUB,2005,Conflict/Migration,3165,-9.781330489731438,5.277735860979463
CUB,2005,Disapproval/Sanction,12077,-2.833654218762938,5.915813529850128
CUB,2005,Other,48968,1.0088946863257635,5.975708135925502
CUB,2005,Protest,1030,-5.136092233009708,5.714019417475729
CUB,2010,Aid/Cooperation,142935,3.321509028579424,5.748226704446076
CUB,2010,Conflict/Migration,11794,-9.747602764117348,4.804748431405799
CUB,2010,Disapproval/Sanction,30648,-2.9274010702166535,5.41087154137301
CUB,2010,Other,168382,1.506106353410697,5.269470935135584
CUB,2010,Protest,3211,-5.213240423544067,5.256985985674245
CUB,2015,Aid/Cooperation,336725,2.981324597223253,2.552259383770139
CUB,2015,Conflict/Migration,26387,-9.794181415090765,1.4318416644559824
CUB,2015,Disapproval/Sanction,59815,-2.969064131070802,1.9715190336872022
CUB,2015,Other,323982,1.6667270126118117,2.2631351340506574
CUB,2015,Protest,6478,-5.099947051559123,1.6318130595862919
CUB,2020,Aid/Cooperation,321415,2.9381925485742735,-0.5528918749902775
CUB,2020,Conflict/Migration,33870,-9.773143785060526,-3.3042300856214935
CUB,2020,Disapproval/Sanction,66308,-2.8681392290523013,-2.708241328346504
CUB,2020,Other,312374,1.6948370030796416,-1.6509735253254112
CUB,2020,Protest,8148,-5.079848060873834,-3.317931394207168
CUB,2024,Aid/Cooperation,126999,2.9058327073441528,-0.664864140662525
CUB,2024,Conflict/Migration,14373,-9.751858902108118,-4.275107980240729
CUB,2024,Disapproval/Sanction,32032,-2.7595930007492506,-3.8917912712287714
CUB,2024,Other,137772,1.2014730859681213,-2.563691040269431
CUB,2024,Protest,3848,-5.065597972972973,-4.357430093555093
DOM,2000,Aid/Cooperation,500,2.994074,6.819886
DOM,2000,Conflict/Migration,19,-9.763473684210524,4.879526315789474
DOM,2000,Disapproval/Sanction,87,-2.804586206896552,6.236827586206897
DOM,2000,Other,534,2.5960955056179778,5.836249063670412
DOM,2000,Protest,14,-5.514142857142857,5.440357142857144
DOM,2005,Aid/Cooperation,899,3.3866017797552836,6.281857619577308
DOM,2005,Conflict/Migration,57,-9.86819298245614,4.8070350877192976
DOM,2005,Disapproval/Sanction,262,-2.7744618320610686,5.458503816793893
DOM,2005,Other,1245,1.5715244979919678,5.769317269076304
DOM,2005,Protest,40,-4.805149999999999,4.554875
DOM,2010,Aid/Cooperation,2104,3.6623916349809886,6.180722908745248
DOM,2010,Conflict/Migration,74,-9.824405405405406,4.338932432432433
DOM,2010,Disapproval/Sanction,381,-3.028879265091864,5.790813648293963
DOM,2010,Other,1884,2.2508731422505304,5.823164543524417
DOM,2010,Protest,39,-5.040794871794871,6.172897435897435
