iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest
GBR,2020,14152,2418,4183,19084,480,3.241499646693047,-9.770565756823821,-2.836187664355726,1.2450562251100397,-5.149966666666667,-0.6298312605992086,-4.4587315963606295,-3.5392562754004304,-2.373022584363865,-3.040752083333333
GBR,2024,10208,787,2223,11017,271,3.252935932601881,-9.775162642947903,-2.8415420602789023,1.8167059090496507,-4.860464944649446,0.536282131661442,-3.207299872935197,-2.839290598290598,-1.283676318416992,-2.440837638376384
GHA,2000,12243,1270,2634,13011,315,2.991599281221923,-9.800088188976376,-3.0381552771450266,1.749056183229575,-4.812993650793651,6.151537286612759,4.632766929133859,5.8512160212604405,6.117079548074706,5.729447619047619
GHA,2005,35115,3345,9591,50306,1303,3.0155107219137123,-9.76190971599402,-3.0116903346887707,1.830759571422892,-4.8180360706062935,6.578705481987755,4.96736980568012,5.9965230945678245,6.474123205979406,6.1787751343054484
GHA,2010,102639,12003,31533,174993,4749,2.9833865294868422,-9.77008764475548,-2.9848097548599877,1.6100553622144886,-4.813666666666667,6.957962908835823,4.883204198950263,6.2120865759680335,6.692874629270885,6.381579911560328
GHA,2015,290280,33383,98268,490037,12935,2.982649958660604,-9.779235299403888,-2.9314940570684254,1.5627997824654056,-4.833391032083495,3.740228910017914,1.2074859958661595,2.6310045080799447,3.2711749031195603,2.640981213761113
GHA,2020,529539,66996,177310,849840,24331,3.027946874545595,-9.768252910621529,-2.9200004963059047,1.6518325437729455,-4.843842382146233,0.4915588521336484,-4.0484696847573,-1.9919696576617225,-0.8147257860303115,-2.5763382105133372
GHA,2024,339957,35519,108470,526463,15093,3.029442558911862,-9.810677552859033,-2.905347616852586,1.7174497220127531,-4.776561783608295,1.0927759187191322,-4.0590682733185055,-1.9240567530192678,-0.5132809447197618,-2.613517127145034
GRC,2000,60143,6092,12402,53965,1449,3.2359596461766125,-9.82507862770847,-3.0696697306885983,1.6120556842397848,-5.209334713595583,5.408416407561977,3.757580925804333,5.018635220125787,5.040062429352358,4.693140096618358
GRC,2005,37190,4127,7947,38463,973,3.19694178542619,-9.841290283498909,-3.10706102931924,1.1786378857603412,-5.182031860226105,5.557589056197903,3.7113179064695903,5.079257203976343,4.943664352754595,4.886511819116135
GRC,2010,92809,21436,24494,130495,4117,3.0975945759570735,-9.832357342787834,-3.0314859965705883,1.2984432966780337,-5.315963808598494,5.66071794761284,3.5755594327299876,4.949798644566016,5.081346212498563,4.538675006072382
GRC,2015,390483,56498,112941,569206,19409,3.0509962917719853,-9.775152837268575,-3.159666870312818,1.8970022557738324,-4.926385645834406,1.6934165431017483,0.462875871712273,1.1274991367174012,1.518461377778871,1.0892243289195735
GRC,2020,452358,69447,108019,549038,15068,2.9451264529421386,-9.75514762336746,-2.9940599987039316,1.561517370382378,-4.986754579240776,-1.1239874347308991,-4.879077656342246,-3.2422608429998423,-2.473474863306365,-3.9679707326785243
