iso3,country,year,ethnic_group,sex,value,metric,unit,source,source_year,record_type,reliability
AIA,Anguilla,2001,Total,Both Sexes,11430,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de facto - complete tabulation,"Final figure, complete"
AIA,Anguilla,2001,Unknown,Both Sexes,2,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de facto - complete tabulation,"Final figure, complete"
AIA,Anguilla,2001,White,Both Sexes,428,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de facto - complete tabulation,"Final figure, complete"
ALA,Åland Islands,2000,Finnish,Both Sexes,5109,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ALA,Åland Islands,2000,Other,Both Sexes,552,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ALA,Åland Islands,2000,Other Nordic Countries,Both Sexes,79,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ALA,Åland Islands,2000,Swedish,Both Sexes,1354,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ALA,Åland Islands,2000,Total,Both Sexes,25776,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ALA,Åland Islands,2000,Åland,Both Sexes,18682,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Albanian,Both Sexes,2312356,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Aromanian,Both Sexes,8266,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Egyptian,Both Sexes,3368,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Greek,Both Sexes,24243,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Macedonian,Both Sexes,5512,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Montenegrian,Both Sexes,366,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Not Stated,Both Sexes,44144,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Other,Both Sexes,2644,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Refused to Respond,Both Sexes,390938,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Roma,Both Sexes,8301,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2011,Total,Both Sexes,2800138,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Albanian,Both Sexes,2186917,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Aromanian,Both Sexes,2459,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Bosnian,Both Sexes,9813,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Bulgarian,Both Sexes,7057,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Egyptian,Both Sexes,12375,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Greek,Both Sexes,23485,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Macedonian,Both Sexes,2281,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Mixed,Both Sexes,770,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Montenegrian,Both Sexes,511,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Not Stated,Both Sexes,1142,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Other,Both Sexes,3798,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Refused to Respond,Both Sexes,13507,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Roma,Both Sexes,9813,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Serbian,Both Sexes,584,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Total,Both Sexes,2402113,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ALB,Albania,2023,Unknown,Both Sexes,134451,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARG,Argentina,2022,African,Both Sexes,229472,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARG,Argentina,2022,Indigenous,Both Sexes,1306730,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARG,Argentina,2022,Not Stated,Both Sexes,44082585,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Armenian,Both Sexes,3145354,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Assyrian,Both Sexes,3409,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Greek,Both Sexes,1176,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Kurd,Both Sexes,1519,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Other,Both Sexes,4640,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Russian,Both Sexes,14660,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Total,Both Sexes,3213011,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Ukrainian,Both Sexes,1633,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2001,Yezeds,Both Sexes,40620,ethnic_composition,persons,UNdata_Export_20250416_063435193,2003,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Armenian,Both Sexes,2961801,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Assyrian,Both Sexes,2769,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Greek,Both Sexes,900,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Kurd,Both Sexes,2162,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Other,Both Sexes,2727,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Russian,Both Sexes,11911,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Total,Both Sexes,3018854,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Ukrainian,Both Sexes,1176,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2011,Yezeds,Both Sexes,35308,ethnic_composition,persons,UNdata_Export_20250416_063435193,2013,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Armenian,Both Sexes,2875697,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Assyrian,Both Sexes,2755,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Greek,Both Sexes,364,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Kurd,Both Sexes,1663,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Other,Both Sexes,5547,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Refused to Respond,Both Sexes,545,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Russian,Both Sexes,14076,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Total,Both Sexes,2932731,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Ukrainian,Both Sexes,1005,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ARM,Armenia,2022,Yezeds,Both Sexes,31079,ethnic_composition,persons,UNdata_Export_20250416_063435193,2024,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Asian/Indian,Both Sexes,13,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Black or African American,Both Sexes,21,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Chinese,Both Sexes,329,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Fijian,Both Sexes,80,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Filipino,Both Sexes,792,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Japanese,Both Sexes,16,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Korean,Both Sexes,200,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Niuean,Both Sexes,18,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Other Asian,Both Sexes,281,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Other Pacific Islander,Both Sexes,165,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Samoan,Both Sexes,50545,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Some other race,Both Sexes,124,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Tokelauan,Both Sexes,45,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Tongan,Both Sexes,1598,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Total,Both Sexes,57291,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,Two or more races,Both Sexes,2409,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ASM,American Samoa,2000,White,Both Sexes,655,ethnic_composition,persons,UNdata_Export_20250416_063435193,2004,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,African,Both Sexes,69982,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,Chinese,Both Sexes,163,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,Indian,Both Sexes,545,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,Mixed,Both Sexes,3374,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,Other,Both Sexes,465,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,Portuguese,Both Sexes,126,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,"Syrian, Lebanese or Arab",Both Sexes,464,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,Total,Both Sexes,76886,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
