iso3,year,ethnic_group,share,count,total_pop,model_name,view_type,scenario_name,delta_migrants,delta_in,delta_out,delta_count,base_share,shock_share,delta_share,total_pop_shock
IDN,2025,Betawi,0.03773926179265681,11049093.080074599,292774488.82756096,ET_BASE,FORECAST,,,,,,,,,
IDN,2025,"Bugis, Ugi",0.03374965591363652,9881038.258221,292774488.82756096,ET_BASE,FORECAST,,,,,,,,,
IDN,2025,Jawa,0.3713869098156412,108732612.67852184,292774488.82756096,ET_BASE,FORECAST,,,,,,,,,
IDN,2025,Madura,0.03010919725870251,8815204.836424828,292774488.82756096,ET_BASE,FORECAST,,,,,,,,,
IDN,2025,Minangkabau,0.03172538046082651,9288382.047278373,292774488.82756096,ET_BASE,FORECAST,,,,,,,,,
IDN,2025,Other,0.2470683233118386,72335302.0631061,292774488.82756096,ET_BASE,FORECAST,,,,,,,,,
IDN,2025,"Sunda, Priangan",0.15188308985232346,44467493.993064515,292774488.82756096,ET_BASE,FORECAST,,,,,,,,,
IDN,2025,"Banjar, Melayu Banjar",0.07290027042119566,21345816.24749678,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,16.851857585455935,0.0729086727505534,0.0729087303097268,5.7559173454424115e-08,292808464.552561
IDN,2025,Banten,0.023426790225182008,6859562.475230488,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,0.0,0.0234295088438209,0.0234295088438209,0.0,292808464.552561
IDN,2025,Betawi,0.03773488275674907,11049093.080074605,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,0.0,0.0377392617926568,0.0377392617926568,0.0,292808464.552561
IDN,2025,"Bugis, Ugi",0.03374573980748871,9881038.258221004,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,0.0,0.0337496559136365,0.0337496559136365,0.0,292808464.552561
IDN,2025,Jawa,0.3713438977119588,108732636.51000193,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,23.831480044174413,0.3713869098156411,0.3713869912144,8.139875895474873e-08,292808464.552561
IDN,2025,Madura,0.030105761121874988,8815221.6882824,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,16.851857585455935,0.0301091972587025,0.0301092548178759,5.7559173454424115e-08,292808464.552561
IDN,2025,Minangkabau,0.03172169923937104,9288382.047278376,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,0.0,0.0317253804608265,0.0317253804608265,0.0,292808464.552561
IDN,2025,Other,0.24715543490739011,72369203.40105334,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,33901.337947199456,0.2470683233118385,0.2471841166587348,0.0001157933468963,292808464.552561
IDN,2025,"Sunda, Priangan",0.15186552380878968,44467510.844922096,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH,33975.725,33975.725,0.0,16.851857585455935,0.1518830898523234,0.1518831474114968,5.7559173454424115e-08,292808464.552561
IDN,2025,"Banjar, Melayu Banjar",0.0728516951954708,21345913.747529943,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,114.35189075845102,0.0729086727505534,0.0729090633306589,3.905801055835923e-07,293005038.39006096
IDN,2025,Banten,0.023411073450889747,6859562.475230487,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,0.0,0.0234295088438209,0.0234295088438209,0.0,293005038.39006096
IDN,2025,Betawi,0.037709566841528416,11049093.080074603,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,0.0,0.0377392617926568,0.0377392617926568,0.0,293005038.39006096
IDN,2025,"Bugis, Ugi",0.03372310016412393,9881038.258221002,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,0.0,0.0337496559136365,0.0337496559136365,0.0,293005038.39006096
IDN,2025,Jawa,0.3710952377801323,108732774.39213647,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,161.71361458546926,0.3713869098156411,0.3713874621643626,5.523487214786523e-07,293005038.39006096
IDN,2025,Madura,0.03008589625882211,8815319.188315565,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,114.35189075845102,0.0301091972587025,0.030109587838808,3.905801055835923e-07,293005038.39006096
IDN,2025,Minangkabau,0.031700417502422876,9288382.047278374,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,0.0,0.0317253804608265,0.0317253804608265,0.0,293005038.39006096
IDN,2025,Other,0.2476590411381156,72565346.85631925,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,230044.7932131392,0.2470683233118385,0.2478540638800634,0.0007857405682249,293005038.39006096
IDN,2025,"Sunda, Priangan",0.15176397166849426,44467608.34495528,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_HIGH,230549.56250000003,230549.56250000003,0.0,114.35189075845102,0.1518830898523234,0.151883480432429,3.905801055835923e-07,293005038.39006096
IDN,2025,"Banjar, Melayu Banjar",0.07288407143413998,21345848.74750784,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,49.35186864312095,0.0729086727505534,0.0729088413167042,1.685661508308135e-07,292873989.16506094
IDN,2025,Banten,0.02342154895621169,6859562.475230487,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,0.0,0.0234295088438209,0.0234295088438209,0.0,292873989.16506094
IDN,2025,Betawi,0.03772644034239394,11049093.0800746,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,0.0,0.0377392617926568,0.0377392617926568,0.0,292873989.16506094
IDN,2025,"Bugis, Ugi",0.03373818988292656,9881038.258221002,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,0.0,0.0337496559136365,0.0337496559136365,0.0,292873989.16506094
IDN,2025,Jawa,0.3712609739796071,108732682.47071342,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,69.79219155793935,0.3713869098156411,0.3713871481977209,2.383820797960499e-07,292873989.16506094
IDN,2025,Madura,0.0300991365379507,8815254.188293463,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,49.35186864312095,0.0301091972587025,0.0301093658248533,1.685661508308135e-07,292873989.16506094
IDN,2025,Minangkabau,0.0317146021528171,9288382.047278374,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,0.0,0.0317253804608265,0.0317253804608265,0.0,292873989.16506094
