iso3_dest,year,scenario_name,dest_ethnic_bucket,origin_ethnic_group,delta_migrants_ethnic
IDN,2025,Aid_HIGH,Other,Bench,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Bengali,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Berber,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Bermudian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Berta,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Bharatha,3.55364199526464
IDN,2025,Aid_HIGH,Other,Bhutanese,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Bikol/Bicol,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bilaan/B'laan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Binukid/Bukidnon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bisaya/Binisaya,0.579413827758762
IDN,2025,Aid_HIGH,Other,Black,14.158032767497895
IDN,2025,Aid_HIGH,Other,Black Caribbean,14.158032767497895
IDN,2025,Aid_HIGH,Other,Black Other,14.158032767497895
IDN,2025,Aid_HIGH,Other,Black or African American,22.11796008091693
IDN,2025,Aid_HIGH,Other,Blang,113.02662259823626
IDN,2025,Aid_HIGH,Other,Bo Y,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Bodi,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Boholano,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bolinao,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bolivian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Bonan,113.02662259823626
IDN,2025,Aid_HIGH,Other,Bontok/Binontok,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bosnian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Bouyei,113.02662259823626
IDN,2025,Aid_HIGH,Other,Brau,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Brayle,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Brazil,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Breton,0.9671809021904582
IDN,2025,Aid_HIGH,Other,British,0.579413827758762
IDN,2025,Aid_HIGH,Other,British NEC,0.9671809021904582
IDN,2025,Aid_HIGH,Other,"British, nec (incl. Channel Islander, Guernsey Islander, Manx)",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"British, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Bru Van Kieu,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Bruneian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Bugkalot,0.579413827758762
IDN,2025,Aid_HIGH,Other,Buhid,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bukidnon-Akeanon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bukidnon-Iraynon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Bulgarian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Burgher,4.520822897455098
IDN,2025,Aid_HIGH,Other,Burji,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Burmese,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Burundian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Butuanon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Cagayanen,0.579413827758762
IDN,2025,Aid_HIGH,Other,Calinga,0.579413827758762
IDN,2025,Aid_HIGH,Other,Cambodian,56.43291174601505
IDN,2025,Aid_HIGH,Other,Cameroonian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Canadian,1.5465947299492202
IDN,2025,Aid_HIGH,Other,Capizeño,0.579413827758762
IDN,2025,Aid_HIGH,Other,"Caribbean, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Carribbean Islander, nec (incl.Bahamian, Haitian, Puerto Rican)",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Catalan,0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Caucasian, so described",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Caviteño,0.579413827758762
IDN,2025,Aid_HIGH,Other,Caviteño-Chavacano,0.579413827758762
IDN,2025,Aid_HIGH,Other,Cebuano,0.579413827758762
IDN,2025,Aid_HIGH,Other,"Central American, nec (incl. Belizean, Costa Rican, Mayan)",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Central American, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Central Asian, nec (incl. Azerbaijani, Chechen, Tatar)",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Central Asian, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Central and West Africa, nec (incl. Fang, Kongo, Liberian)",0.9671809021904582
