iso3_orig,iso3_dest,year,migrant_stock_pred,model_name
IDN,AUS,2025,258866.65550464593,XGB_OD
IDN,AUS,2030,292340.8320470136,XGB_OD
IDN,AUS,2035,311858.08111250005,XGB_OD
IDN,BEL,2025,3864.280245217223,XGB_OD
IDN,BEL,2030,3865.8435178988843,XGB_OD
IDN,BEL,2035,3865.8435178988843,XGB_OD
IDN,BGD,2025,214886.35177035083,XGB_OD
IDN,BGD,2030,218801.99718658492,XGB_OD
IDN,BGD,2035,218095.96696577864,XGB_OD
IDN,BGR,2025,84.64567073750794,XGB_OD
IDN,BGR,2030,85.13381709127827,XGB_OD
IDN,BGR,2035,85.54630002116662,XGB_OD
IDN,BHR,2025,26736.3095744005,XGB_OD
IDN,BHR,2030,22539.251323039076,XGB_OD
IDN,BHR,2035,23856.729891677,XGB_OD
IDN,BHS,2025,34.03314732178386,XGB_OD
IDN,BHS,2030,33.45801119895749,XGB_OD
IDN,BHS,2035,33.43130497487664,XGB_OD
IDN,BOL,2025,10.370395677624442,XGB_OD
IDN,BOL,2030,10.58547699781619,XGB_OD
IDN,BOL,2035,10.491629713678051,XGB_OD
IDN,BRA,2025,781.8554993869296,XGB_OD
IDN,BRA,2030,789.3179111274658,XGB_OD
IDN,BRA,2035,791.0612686025067,XGB_OD
IDN,BRN,2025,6729.928542591374,XGB_OD
IDN,BRN,2030,6615.62296782454,XGB_OD
IDN,BRN,2035,6615.62296782454,XGB_OD
IDN,CAN,2025,15003.208481469861,XGB_OD
IDN,CAN,2030,14860.96742810302,XGB_OD
IDN,CAN,2035,15459.78191138151,XGB_OD
IDN,CHN,2025,306799.24308782,XGB_OD
IDN,CHN,2030,315553.7375386526,XGB_OD
IDN,CHN,2035,309622.16149902693,XGB_OD
IDN,CRI,2025,25.6901187639796,XGB_OD
IDN,CRI,2030,26.89819583308221,XGB_OD
IDN,CRI,2035,26.843368679343147,XGB_OD
IDN,CUW,2025,280.9869975549849,XGB_OD
IDN,CUW,2030,266.88660468077705,XGB_OD
IDN,CUW,2035,264.41775721019803,XGB_OD
IDN,CYP,2025,168.35168993043982,XGB_OD
IDN,CYP,2030,168.13670004186005,XGB_OD
IDN,CYP,2035,168.37898670445875,XGB_OD
IDN,DNK,2025,1605.513581134242,XGB_OD
IDN,DNK,2030,1596.402128183762,XGB_OD
IDN,DNK,2035,1596.402128183762,XGB_OD
IDN,DZA,2025,1342.2168968616206,XGB_OD
IDN,DZA,2030,1296.7613182285709,XGB_OD
IDN,DZA,2035,1303.0208868185111,XGB_OD
IDN,EGY,2025,2854.9382569142717,XGB_OD
IDN,EGY,2030,2881.0457903462952,XGB_OD
IDN,EGY,2035,2835.4507105026005,XGB_OD
IDN,EST,2025,40.116242822571294,XGB_OD
IDN,EST,2030,40.116242822571294,XGB_OD
IDN,EST,2035,40.116242822571294,XGB_OD
IDN,FIN,2025,785.1204038663379,XGB_OD
IDN,FIN,2030,786.5851867842339,XGB_OD
IDN,FIN,2035,788.6922062029553,XGB_OD
IDN,FRO,2025,11.370446578311542,XGB_OD
IDN,FRO,2030,11.2223598615145,XGB_OD
IDN,FRO,2035,11.370446578311542,XGB_OD
IDN,GRC,2025,457.56839652546114,XGB_OD
IDN,GRC,2030,455.1589658957818,XGB_OD
IDN,GRC,2035,456.9454134346392,XGB_OD
IDN,GTM,2025,43.84040569799258,XGB_OD
IDN,GTM,2030,44.038203273173245,XGB_OD
IDN,GTM,2035,43.80238401112168,XGB_OD
IDN,HKG,2025,125899.47994847069,XGB_OD
IDN,HKG,2030,118452.8406294797,XGB_OD
IDN,HKG,2035,118024.12014387094,XGB_OD
IDN,HRV,2025,17.606518605153163,XGB_OD
IDN,HRV,2030,17.218593504516644,XGB_OD
IDN,HRV,2035,17.477283399621168,XGB_OD
IDN,HUN,2025,708.4968961046893,XGB_OD
IDN,HUN,2030,709.4644580463305,XGB_OD
IDN,HUN,2035,709.2412398324866,XGB_OD
IDN,IND,2025,760.0367905199255,XGB_OD
IDN,IND,2030,757.2129472039303,XGB_OD
IDN,IND,2035,757.2129472039303,XGB_OD
IDN,ISL,2025,241.63657571646607,XGB_OD
IDN,ISL,2030,235.68149535782845,XGB_OD
IDN,ISL,2035,235.68149535782845,XGB_OD
IDN,ITA,2025,4356.479889740767,XGB_OD
IDN,ITA,2030,4352.0065882766385,XGB_OD
IDN,ITA,2035,4352.0065882766385,XGB_OD
IDN,JPN,2025,162497.73298458816,XGB_OD
IDN,JPN,2030,166606.418799069,XGB_OD
IDN,JPN,2035,165152.29199992062,XGB_OD
IDN,KHM,2025,103.1750219170467,XGB_OD
IDN,KHM,2030,100.03047952999984,XGB_OD
