iso3,year,scenario,delta_in,delta_out,delta_migrants_2025
MMR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
MYS,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,157116.635,56874.8,100241.835
NGA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
NIC,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
NPL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
NZL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
PAK,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
PAN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
PER,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
PHL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
POL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
PRI,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
PRT,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
PSE,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
ROU,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
RUS,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
SAU,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
SDN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
SGP,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
SLV,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
SOM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
SYR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
THA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
TLS,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
TTO,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
TUR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
UKR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
USA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,1526563.30125,552602.1,973961.20125
VEN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
VNM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
YEM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
AFG,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ARG,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
AUS,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
BGD,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
BRA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
BRN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
CAN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
CHN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
COL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
CUB,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
DEU,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
DOM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ECU,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
EGY,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ERI,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ESP,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ETH,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
FRA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
GBR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
GHA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
GRC,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
GTM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
GUY,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
HKG,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
HND,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
HTI,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
IDN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,131777.27624999997,19414.7,112362.57624999997
IND,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
IRL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
IRN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
IRQ,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ISR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ITA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
JAM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
JPN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
KEN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
KHM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
KOR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
LAO,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
LBN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
LKA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
MEX,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
MMR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
MYS,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,386037.7049999999,56874.8,329162.9049999999
NGA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
NIC,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
NPL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
NZL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
PAK,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
PAN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
PER,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
PHL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
POL,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
PRI,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
PRT,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
PSE,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
ROU,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
RUS,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
SAU,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
SDN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
SGP,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
SLV,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
SOM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
SYR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
THA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
TLS,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
TTO,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
TUR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
UKR,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
USA,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,3750786.753749999,552602.1,3198184.653749999
VEN,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
VNM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
YEM,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0,0.0,0.0
AFG,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ARG,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
AUS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
BGD,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
BRA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
BRN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
CAN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
CHN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
COL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
CUB,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
DEU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
DOM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ECU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
EGY,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ERI,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ESP,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ETH,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
FRA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
GBR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
GHA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
GRC,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
GTM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
GUY,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
HKG,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
HND,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
HTI,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
IDN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,20142.751250000005,58244.100000000006,-38101.348750000005
IND,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
IRL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
IRN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
IRQ,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ISR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ITA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
JAM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
JPN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
KEN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
KHM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
KOR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
LAO,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
LBN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
LKA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
MEX,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
MMR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
MYS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,59007.60500000001,170624.40000000002,-111616.79500000001
NGA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
NIC,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
NPL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
NZL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
PAK,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
PAN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
PER,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
PHL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
POL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
PRI,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
PRT,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
PSE,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
ROU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
RUS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
SAU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
SDN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
SGP,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
SLV,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
SOM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
SYR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
THA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
TLS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
TTO,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
TUR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
UKR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
USA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,573324.6787500001,1657806.3000000003,-1084481.6212500003
VEN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
VNM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
YEM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0,0.0,0.0
AFG,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ARG,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
AUS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
BGD,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
BRA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
BRN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
CAN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
CHN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
COL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
CUB,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
DEU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
DOM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ECU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
EGY,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ERI,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ESP,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ETH,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
FRA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
GBR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
GHA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
GRC,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
GTM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
GUY,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
HKG,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
HND,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
HTI,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
IDN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,31306.20375000001,58244.100000000006,-26937.896249999994
IND,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
IRL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
IRN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
IRQ,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ISR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ITA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
JAM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
JPN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
KEN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
KHM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
KOR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
LAO,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
LBN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
LKA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
MEX,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
MMR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
MYS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,91710.61500000003,170624.40000000002,-78913.78499999999
NGA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
NIC,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
NPL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
NZL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
PAK,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
PAN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
PER,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
PHL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
POL,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
PRI,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
PRT,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
PSE,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
ROU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
RUS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
SAU,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
SDN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
SGP,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
SLV,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
SOM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
SYR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
THA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
TLS,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
TTO,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
TUR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
UKR,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
USA,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,891070.8862500003,1657806.3000000003,-766735.41375
VEN,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
VNM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
YEM,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0,0.0,0.0
AFG,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
ARG,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
AUS,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
BGD,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
BRA,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
BRN,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
CAN,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
CHN,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
COL,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
CUB,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
DEU,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
DOM,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
ECU,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
EGY,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
ERI,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
ESP,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
ETH,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
FRA,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
GBR,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
GHA,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
GRC,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0,0.0,0.0
