iso3_orig,iso3_dest,year,model_name,scenario,migrant_stock_pred,delta_in_od,delta_out_od,delta_stock_od,migrant_stock_shock
AFG,IDN,2025,XGB_OD,Aid_HIGH,7490.869455674805,482.8914884020001,0.0,482.8914884020001,7973.760944076806
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_external_HIGH,7490.869455674805,3276.763671299287,0.0,3276.763671299287,10767.633126974091
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_external_LOW,7490.869455674805,1414.1822160344288,0.0,1414.1822160344288,8905.051671709234
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH,7490.869455674805,482.8914884020001,0.0,482.8914884020001,7973.760944076806
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,7490.869455674805,762.2787066917291,0.0,762.2787066917291,8253.148162366535
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,7490.869455674805,576.0205611652431,0.0,576.0205611652431,8066.890016840048
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW,7490.869455674805,482.8914884020001,0.0,482.8914884020001,7973.760944076806
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,7490.869455674805,2438.6020164301003,0.0,2438.6020164301003,9929.471472104906
AFG,IDN,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,7490.869455674805,1134.7949977447004,0.0,1134.7949977447004,8625.664453419506
AFG,IDN,2025,XGB_OD,Aid_LOW,7490.869455674805,206.9534950294286,0.0,206.9534950294286,7697.822950704233
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_external_HIGH,7490.869455674805,2586.918687867858,0.0,2586.918687867858,10077.788143542663
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_external_LOW,7490.869455674805,1000.2752259755715,0.0,1000.2752259755715,8491.144681650376
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH,7490.869455674805,206.9534950294286,0.0,206.9534950294286,7697.822950704233
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,7490.869455674805,444.9500143132717,0.0,444.9500143132717,7935.819469988077
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,7490.869455674805,286.285668124043,0.0,286.285668124043,7777.155123798848
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW,7490.869455674805,206.9534950294286,0.0,206.9534950294286,7697.822950704233
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,7490.869455674805,1872.9291300163286,0.0,1872.9291300163286,9363.798585691133
AFG,IDN,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,7490.869455674805,762.2787066917288,0.0,762.2787066917288,8253.148162366533
AFG,IDN,2025,XGB_OD,Conflict_external_HIGH,7490.869455674805,2069.5349502942863,0.0,2069.5349502942863,9560.404405969091
AFG,IDN,2025,XGB_OD,Conflict_external_LOW,7490.869455674805,689.8449834314288,0.0,689.8449834314288,8180.714439106234
AFG,IDN,2025,XGB_OD,Conflict_internal_HIGH,7490.869455674805,0.0,0.0,0.0,7490.869455674805
AFG,IDN,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_HIGH,7490.869455674805,206.9534950294288,0.0,206.9534950294288,7697.822950704234
AFG,IDN,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_LOW,7490.869455674805,68.98449834314295,0.0,68.98449834314295,7559.853954017948
AFG,IDN,2025,XGB_OD,Conflict_internal_LOW,7490.869455674805,0.0,0.0,0.0,7490.869455674805
AFG,IDN,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_HIGH,7490.869455674805,1448.6744652060004,0.0,1448.6744652060004,8939.543920880806
AFG,IDN,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_LOW,7490.869455674805,482.8914884020001,0.0,482.8914884020001,7973.760944076806
AFG,MYS,2025,XGB_OD,Aid_HIGH,3187.380452069638,81.02930982848392,0.0,81.02930982848392,3268.409761898122
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_external_HIGH,3187.380452069638,549.8417452647124,0.0,549.8417452647124,3737.2221973343503
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_external_LOW,3187.380452069638,237.30012164056004,0.0,237.30012164056004,3424.680573710198
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH,3187.380452069638,81.02930982848392,0.0,81.02930982848392,3268.409761898122
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,3187.380452069638,127.91055337210682,0.0,127.91055337210682,3315.291005441745
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,3187.380452069638,96.65639100969153,0.0,96.65639100969153,3284.0368430793296
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW,3187.380452069638,81.02930982848392,0.0,81.02930982848392,3268.409761898122
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,3187.380452069638,409.19801463384374,0.0,409.19801463384374,3596.578466703482
AFG,MYS,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,3187.380452069638,190.4188780969372,0.0,190.4188780969372,3377.799330166575
AFG,MYS,2025,XGB_OD,Aid_LOW,3187.380452069638,34.72684706935025,0.0,34.72684706935025,3222.1072991389883
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_external_HIGH,3187.380452069638,434.085588366878,0.0,434.085588366878,3621.466040436516
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_external_LOW,3187.380452069638,167.84642750185955,0.0,167.84642750185955,3355.2268795714976
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH,3187.380452069638,34.72684706935025,0.0,34.72684706935025,3222.1072991389883
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,3187.380452069638,74.66272119910307,0.0,74.66272119910307,3262.043173268741
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,3187.380452069638,48.03880511260119,0.0,48.03880511260119,3235.419257182239
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW,3187.380452069638,34.72684706935025,0.0,34.72684706935025,3222.1072991389883
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,3187.380452069638,314.2779659776197,0.0,314.2779659776197,3501.658418047258
AFG,MYS,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,3187.380452069638,127.91055337210676,0.0,127.91055337210676,3315.291005441745
AFG,MYS,2025,XGB_OD,Conflict_external_HIGH,3187.380452069638,347.26847069350254,0.0,347.26847069350254,3534.6489227631405
AFG,MYS,2025,XGB_OD,Conflict_external_LOW,3187.380452069638,115.75615689783417,0.0,115.75615689783417,3303.136608967472
AFG,MYS,2025,XGB_OD,Conflict_internal_HIGH,3187.380452069638,0.0,0.0,0.0,3187.380452069638
AFG,MYS,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_HIGH,3187.380452069638,34.726847069350285,0.0,34.726847069350285,3222.1072991389883
AFG,MYS,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_LOW,3187.380452069638,11.575615689783426,0.0,11.575615689783426,3198.9560677594213
AFG,MYS,2025,XGB_OD,Conflict_internal_LOW,3187.380452069638,0.0,0.0,0.0,3187.380452069638
AFG,MYS,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_HIGH,3187.380452069638,243.08792948545172,0.0,243.08792948545172,3430.4683815550898
AFG,MYS,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_LOW,3187.380452069638,81.02930982848392,0.0,81.02930982848392,3268.409761898122
AFG,USA,2025,XGB_OD,Aid_HIGH,212665.1709863885,3957.0977095877556,0.0,3957.0977095877556,216622.26869597624
AFG,USA,2025,XGB_OD,Aid_HIGH__Conflict_external_HIGH,212665.1709863885,26851.734457916915,0.0,26851.734457916915,239516.9054443054
AFG,USA,2025,XGB_OD,Aid_HIGH__Conflict_external_LOW,212665.1709863885,11588.643292364142,0.0,11588.643292364142,224253.81427875263
