iso3_orig,iso3_dest,MAE,RMSE,n,model_name
AFG,IDN,1136.5887988428312,1136.5887988428312,1.0,RF_OD
AFG,MYS,1576.829398284136,1576.829398284136,1.0,RF_OD
AFG,USA,33894.009331074136,33894.009331074136,1.0,RF_OD
ARG,USA,793.5616683879343,793.5616683879343,1.0,RF_OD
AUS,IDN,808.2282887115289,808.2282887115289,1.0,RF_OD
AUS,MYS,218.42993015944558,218.42993015944558,1.0,RF_OD
BGD,MYS,20906.435644753277,20906.435644753277,1.0,RF_OD
BGD,USA,44498.30744958267,44498.30744958267,1.0,RF_OD
BRA,USA,28683.713668486802,28683.713668486802,1.0,RF_OD
BRN,MYS,2738.3240050721397,2738.3240050721397,1.0,RF_OD
CAN,USA,5864.513915240648,5864.513915240648,1.0,RF_OD
CHN,IDN,12871.206416391156,12871.206416391156,1.0,RF_OD
CHN,MYS,831.3774280491889,831.3774280491889,1.0,RF_OD
CHN,USA,263562.2303878083,263562.2303878083,1.0,RF_OD
COL,USA,88728.61448107113,88728.61448107113,1.0,RF_OD
CUB,USA,18298.03758219001,18298.03758219001,1.0,RF_OD
DEU,USA,23401.396580178756,23401.396580178756,1.0,RF_OD
DOM,USA,89272.71331865084,89272.71331865084,1.0,RF_OD
ECU,USA,53310.804587777064,53310.804587777064,1.0,RF_OD
EGY,USA,4571.455467880238,4571.455467880238,1.0,RF_OD
ERI,IDN,118.27923671986082,118.27923671986082,1.0,RF_OD
ESP,USA,7262.66486449918,7262.66486449918,1.0,RF_OD
ETH,IDN,145.18308229027357,145.18308229027357,1.0,RF_OD
ETH,USA,44649.410807907756,44649.410807907756,1.0,RF_OD
FRA,USA,6730.1575361320865,6730.1575361320865,1.0,RF_OD
GBR,IDN,162.14402706892224,162.14402706892224,1.0,RF_OD
GBR,MYS,1.021976739616548,1.021976739616548,1.0,RF_OD
GBR,USA,11938.101077901549,11938.101077901549,1.0,RF_OD
GHA,USA,3342.109262638958,3342.109262638958,1.0,RF_OD
GRC,USA,320.74333530428703,320.74333530428703,1.0,RF_OD
GTM,USA,40501.90514398576,40501.90514398576,1.0,RF_OD
GUY,USA,16593.07819806831,16593.07819806831,1.0,RF_OD
HKG,USA,968.5999925992801,968.5999925992801,1.0,RF_OD
