iso3,year,scenario,ethnic_bucket,migrant_pred_bucket,migrant_shock_bucket,delta_migrants_bucket,delta_in_bucket,delta_out_bucket
AIA,2025,AID_LOW__CONFLICT_EXTERNAL_HIGH,Other,465.0928489686196,465.0928489686196,0.0,0.0,0.0
AIA,2025,AID_LOW__CONFLICT_EXTERNAL_LOW,Other,465.0928489686196,465.0928489686196,0.0,0.0,0.0
AIA,2025,AID_LOW__CONFLICT_INTERNAL_HIGH,Other,465.0928489686196,710.7769769272803,245.68412795866075,0.0,245.68412795866075
AIA,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,465.0928489686196,710.7769769272803,245.68412795866075,0.0,245.68412795866075
AIA,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,465.0928489686196,710.7769769272803,245.68412795866075,0.0,245.68412795866075
AIA,2025,AID_LOW__CONFLICT_INTERNAL_LOW,Other,465.0928489686196,546.9875582881732,81.89470931955356,0.0,81.89470931955356
AIA,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,465.0928489686196,546.9875582881732,81.89470931955356,0.0,81.89470931955356
AIA,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,465.0928489686196,546.9875582881732,81.89470931955356,0.0,81.89470931955356
AIA,2025,CONFLICT_EXTERNAL_HIGH,Other,465.0928489686196,465.0928489686196,0.0,0.0,0.0
AIA,2025,CONFLICT_EXTERNAL_LOW,Other,465.0928489686196,465.0928489686196,0.0,0.0,0.0
AIA,2025,CONFLICT_INTERNAL_HIGH,Other,465.0928489686196,710.7769769272803,245.68412795866075,0.0,245.68412795866075
AIA,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,465.0928489686196,710.7769769272803,245.68412795866075,0.0,245.68412795866075
AIA,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,465.0928489686196,710.7769769272803,245.68412795866075,0.0,245.68412795866075
AIA,2025,CONFLICT_INTERNAL_LOW,Other,465.0928489686196,546.9875582881732,81.89470931955356,0.0,81.89470931955356
AIA,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,465.0928489686196,546.9875582881732,81.89470931955356,0.0,81.89470931955356
AIA,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,465.0928489686196,546.9875582881732,81.89470931955356,0.0,81.89470931955356
ALB,2025,AID_HIGH,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,AID_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,AID_HIGH__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,AID_HIGH__CONFLICT_INTERNAL_LOW,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,AID_LOW,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,AID_LOW__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,AID_LOW__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,AID_LOW__CONFLICT_INTERNAL_HIGH,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
