iso3,year,ethnic_group,share,model_name,type,total_pop_interp,count
IDN,2000,"Banjar, Melayu Banjar",0.017386414487067302,HIST,historical,201092238.0,3496272.999999986
IDN,2000,Banten,0.020454106239545602,HIST,historical,201092238.0,4113161.9999999893
IDN,2000,Betawi,0.02507151966750701,HIST,historical,201092238.0,5041688.0
IDN,2000,"Bugis, Ugi",0.02491604375102731,HIST,historical,201092238.0,5010422.999999996
IDN,2000,Jawa,0.4164897354218119,HIST,historical,201092238.0,83752853.00000003
IDN,2000,Madura,0.03367473089637601,HIST,historical,201092238.0,6771726.999999997
IDN,2000,Minangkabau,0.027227032999652605,HIST,historical,201092238.0,5475144.999999995
IDN,2000,Other,0.2807296967872028,HIST,historical,201092238.0,56452563.000000015
IDN,2000,"Sunda, Priangan",0.15405071974980952,HIST,historical,201092238.0,30978403.999999996
IDN,2005,"Banjar, Melayu Banjar",0.02874260529225681,HIST,historical,218910308.5,6292052.591621672
IDN,2005,Banten,0.020064876577348206,HIST,historical,218910308.5,4392408.321561721
IDN,2005,Betawi,0.026915041330882312,HIST,historical,218910308.5,5891980.001033698
IDN,2005,"Bugis, Ugi",0.025890505185847908,HIST,historical,218910308.5,5667698.477454816
IDN,2005,Jawa,0.4093551494655071,HIST,historical,218910308.5,89612062.05555779
IDN,2005,Madura,0.032001064938564715,HIST,historical,218910308.5,7005362.998029737
IDN,2005,Minangkabau,0.02726357617433621,HIST,historical,218910308.5,5968277.871137191
IDN,2005,Other,0.2752232951706986,HIST,historical,218910308.5,60249216.452204205
IDN,2005,"Sunda, Priangan",0.15454388586455806,HIST,historical,218910308.5,33831249.7313992
IDN,2010,"Banjar, Melayu Banjar",0.04009879609744632,HIST,historical,236728379.0,9492522.999999994
IDN,2010,Banten,0.01967564691515081,HIST,historical,236728379.0,4657784.000000002
IDN,2010,Betawi,0.028758562994257615,HIST,historical,236728379.0,6807967.999999992
IDN,2010,"Bugis, Ugi",0.02686496662066861,HIST,historical,236728379.0,6359699.999999988
IDN,2010,Jawa,0.4022205635092024,HIST,historical,236728379.0,95217022.00000003
