iso3,year,ethnic_group,value_interp,share_interp,total_pop_interp
AUS,2000,Chaldean,7339,0.00032171056131294204,22812914.0
AUS,2000,Channel Islander,1040,4.5577112525686733e-05,22812914.0
AUS,2000,Chilean,21579,0.0009459116007713876,22812914.0
AUS,2000,Chin,24467,0.0010724876236107186,22812914.0
AUS,2000,Chinese,556554,0.024396444925887155,22812914.0
AUS,2000,"Chinese Asian, nec (incl. Hui, Manchu, Yi)",500,2.191741046321395e-05,22812914.0
AUS,2000,"Chinese Asian, nfd",3,1.315044627792837e-07,22812914.0
AUS,2000,Colombian,3475,0.00015232600271933695,22812914.0
AUS,2000,Congo,2646,0.00011596585030780788,22812914.0
AUS,2000,Cook Islander,8153,0.00035738529501316667,22812914.0
AUS,2000,Coptic,3346,0.00014667131081982774,22812914.0
AUS,2000,Costa Rican,216,9.469038033353882e-06,22812914.0
AUS,2000,"Creole, so described",356,1.559837385577382e-05,22812914.0
AUS,2000,Croatian,105747,0.004635400808506971,22812914.0
AUS,2000,Cubans,414,1.8147615863541152e-05,22812914.0
AUS,2000,Cypriot,9610,0.000421273965948632,22812914.0
AUS,2000,Czech,17127,0.0007507589780069307,22812914.0
AUS,2000,Danish,38637,0.0016936459761343948,22812914.0
AUS,2000,Darfu/Darfurian,8,3.572577027350828e-07,22812914.0
AUS,2000,Dinka,1192,5.225651694755461e-05,22812914.0
AUS,2000,Dutch,268754,0.011780783463261203,22812914.0
AUS,2000,"Eastern European, nec (incl. Adygei, Khanty, Sorb/Wend)",431,1.8892807819290425e-05,22812914.0
AUS,2000,"Eastern European, nfd",8225,0.0003605414021198695,22812914.0
AUS,2000,Ecuadorian,976,4.278278522419363e-05,22812914.0
AUS,2000,Egyptian,27001,0.0011835839998344797,22812914.0
AUS,2000,Emirati,147,6.4306386492314905e-06,22812914.0
AUS,2000,English,6358880,0.27874036609264385,22812914.0
AUS,2000,Eritrean,2029,8.894085165972221e-05,22812914.0
AUS,2000,Estonian,7542,0.0003306022194271192,22812914.0
AUS,2000,Ethiopian,3054,0.0001338715431093108,22812914.0
AUS,2000,"Eurasian, so described",3438,0.00015071879624873645,22812914.0
AUS,2000,"European, so described",8100,0.00035506928094364737,22812914.0
AUS,2000,Fijian,16620,0.0007285347237972317,22812914.0
AUS,2000,Fijian Indian/Indo-Fijian,13212,0.0005791504619038427,22812914.0
AUS,2000,Filipino,129821,0.005690680287489797,22812914.0
AUS,2000,Finnish,18106,0.0007936732676939036,22812914.0
AUS,2000,Flemish,460,2.0164017626156833e-05,22812914.0
AUS,2000,French,79079,0.003466413804040992,22812914.0
AUS,2000,French Canadian,1246,5.461818687432916e-05,22812914.0
AUS,2000,Frisian,219,9.586909876092726e-06,22812914.0
AUS,2000,Fulani,27,1.1835401650135533e-06,22812914.0
AUS,2000,Georgian,332,1.4553160547574063e-05,22812914.0
AUS,2000,German,742212,0.0325347301094459,22812914.0
AUS,2000,Ghanaian,1816,7.960403480239307e-05,22812914.0
AUS,2000,Gibraltarian,165,7.229473021315826e-06,22812914.0
AUS,2000,Gio,31,1.3575792703933146e-06,22812914.0
AUS,2000,Greek,375703,0.01646887372652174,22812914.0
AUS,2000,Guatemalan,210,9.19400373362991e-06,22812914.0
AUS,2000,Gujarati,120,5.260178511171348e-06,22812914.0
AUS,2000,Gurkha,16,7.013571348228464e-07,22812914.0
AUS,2000,Guyanese,301,1.3194281098854798e-05,22812914.0
AUS,2000,Hawaiian,248,1.0883500146220021e-05,22812914.0
AUS,2000,Hazara,832,3.646169002054938e-05,22812914.0
AUS,2000,Hispanic,2605,0.00011418970851334467,22812914.0
AUS,2000,Hmong,1838,8.056840086277448e-05,22812914.0
AUS,2000,Hungarian,62859,0.0027554130086143314,22812914.0
AUS,2000,Hutu,13,5.500685994479433e-07,22812914.0
AUS,2000,Icelandic,624,2.735292825809101e-05,22812914.0
AUS,2000,Igbo,281,1.2325390744360357e-05,22812914.0
AUS,2000,Inadequately described,69829,0.003060941710471534,22812914.0
AUS,2000,Indian,156628,0.006865760332064549,22812914.0
AUS,2000,Indian Tamil,415,1.8184417069215715e-05,22812914.0
AUS,2000,Indonesian,28267,0.0012390788831273373,22812914.0
AUS,2000,Iranian,18799,0.0008240507985959181,22812914.0
AUS,2000,Iraqi,11193,0.0004906431506295075,22812914.0
AUS,2000,Irish,1919727,0.08415088927262865,22812914.0
AUS,2000,Italian,800256,0.035079078455299485,22812914.0
AUS,2000,Ivoirean,100,4.400548795583546e-06,22812914.0
AUS,2000,Jamaican,1167,5.115523602114136e-05,22812914.0
AUS,2000,Japanese,31433,0.0013778599261804081,22812914.0
AUS,2000,Javanese,597,2.6169388093077457e-05,22812914.0
AUS,2000,Jewish,22554,0.000988650551174655,22812914.0
AUS,2000,Jordanian,2686,0.00011774032900838534,22812914.0
AUS,2000,Kadazan,164,7.190182407069544e-06,22812914.0
AUS,2000,Karen,795,3.4850774836451836e-05,22812914.0
AUS,2000,Kashmiri,212,9.288700271112153e-06,22812914.0
AUS,2000,Kazak,85,3.7259597787463715e-06,22812914.0
AUS,2000,Kenyan,1118,4.900732979574639e-05,22812914.0
AUS,2000,Khmer,21363,0.0009364432794512792,22812914.0
AUS,2000,Kiribati,358,1.5692865891661186e-05,22812914.0
AUS,2000,Korean,43753,0.0019179049199939998,22812914.0
AUS,2000,Krahn,27,1.1789504190257732e-06,22812914.0
AUS,2000,Kunama,15,6.43063864923149e-07,22812914.0
AUS,2000,Kurd,4494,0.00019699368524336698,22812914.0
AUS,2000,Kuwaiti,359,1.5736700712587617e-05,22812914.0
AUS,2000,Kyrgyz,87,3.822657419265386e-06,22812914.0
AUS,2000,Lao,10090,0.0004422933431476575,22812914.0
AUS,2000,Latvian,18937,0.0008301000038837651,22812914.0
AUS,2000,Lebanese,162237,0.007111629842640883,22812914.0
AUS,2000,Liberian,1025,4.4948462697746224e-05,22812914.0
AUS,2000,Libyan,178,7.802598124904166e-06,22812914.0
AUS,2000,Lithuanian,12317,0.0005399134893508124,22812914.0
AUS,2000,Luxembourg,150,6.561532579129038e-06,22812914.0
AUS,2000,Macedonian,81898,0.003589984164232592,22812914.0
AUS,2000,Madi,115,5.037333608564668e-06,22812914.0
AUS,2000,Madura,16,7.013571348228464e-07,22812914.0
AUS,2000,"Mainland South-East Asian, nec (incl. Arakanese, Karen, Mon)",767,3.3621307650570196e-05,22812914.0
AUS,2000,"Mainland South-East Asian, nfd",106,4.644350135556076e-06,22812914.0
AUS,2000,Malawian,106,4.646491018201357e-06,22812914.0
AUS,2000,Malay,18296,0.0008020018836699249,22812914.0
AUS,2000,Malayali,90,3.945133883378511e-06,22812914.0
AUS,2000,Maldivian,272,1.1905056116623344e-05,22812914.0
AUS,2000,Maltese,136754,0.005994587100972721,22812914.0
AUS,2000,Mandaean,243,1.0646279541505467e-05,22812914.0
AUS,2000,Mandinka,71,3.1081420137952206e-06,22812914.0
AUS,2000,Manx,1661,7.280550819835992e-05,22812914.0
AUS,2000,Marathi,9,3.945133883378511e-07,22812914.0
AUS,2000,"Maritime South-East Asian, nec (incl. Balinese, Irian Jayan, Sumatran)",1387,6.07988966249555e-05,22812914.0
AUS,2000,Masai,29,1.2572996558810133e-06,22812914.0
AUS,2000,Mauritian,17886,0.0007840296070900895,22812914.0
AUS,2000,Maya,114,4.989908009277771e-06,22812914.0
AUS,2000,"Melanesian and Papuan, nec (incl. Bisorio, Bougainvillian, Huli)",152,6.662892780817041e-06,22812914.0
AUS,2000,"Melanesian and Papuan, nfd",429,1.8805138177437568e-05,22812914.0
AUS,2000,Mexican,1635,7.166993221470962e-05,22812914.0
AUS,2000,"Micronesian, nec (incl. Marianas Islander, Marshallese, Palauan)",202,8.854633827138436e-06,22812914.0
AUS,2000,"Micronesian, nfd",80,3.506785674114232e-06,22812914.0
AUS,2000,Moldovan,139,6.093040108773478e-06,22812914.0
AUS,2000,Mon,143,6.247207665158784e-06,22812914.0
AUS,2000,Mongol,415,1.819145068446758e-05,22812914.0
AUS,2000,Montenegrian,771,3.379664693427591e-05,22812914.0
AUS,2000,Moroccan,1161,5.089222709558279e-05,22812914.0
AUS,2000,Mozambican,111,4.865665122833497e-06,22812914.0
AUS,2000,Namibian,41,1.797227657983544e-06,22812914.0
AUS,2000,Native North American Indian,1854,8.126975799759733e-05,22812914.0
AUS,2000,Nauru,280,1.2273749859399813e-05,22812914.0
AUS,2000,Nepalese,2947,0.00012918121727018301,22812914.0
AUS,2000,New Caledonian,174,7.627258841198455e-06,22812914.0
AUS,2000,New Zealand,123314,0.00540544710772153,22812914.0
AUS,2000,New Zealand Maori,72956,0.003198013195508474,22812914.0
AUS,2000,"New Zealand Peoples, nfd",16,7.013571348228464e-07,22812914.0
AUS,2000,Ni-Vanuatu,311,1.3632629308119076e-05,22812914.0
AUS,2000,Nicaraguan,456,1.998867834245112e-05,22812914.0
AUS,2000,Nigerian,1160,5.0848392274656366e-05,22812914.0
AUS,2000,Niuean,1301,5.70291020252827e-05,22812914.0
AUS,2000,"North African and Middle Eastern, nfd",1138,4.988402621427495e-05,22812914.0
AUS,2000,"North American, nec (incl. Bermudan, Inuit, Metis)",263,1.1528557903650538e-05,22812914.0
AUS,2000,"North American, nfd",10,4.38348209264279e-07,22812914.0
AUS,2000,"North European, nec (incl. Faeroese, Greenlandic, Saami)",957,4.19499236265915e-05,22812914.0
AUS,2000,"North European, nfd",1992,8.731896328544438e-05,22812914.0
AUS,2000,"North-East Asian, nfd",3,1.315044627792837e-07,22812914.0
AUS,2000,"North-West European, nfd",3794,0.00016630931059486746,22812914.0
AUS,2000,Norwegian,17293,0.0007580355582807177,22812914.0
AUS,2000,Not Stated,1299722,0.05697308112413872,22812914.0
AUS,2000,Nubian,35,1.536208121760856e-06,22812914.0
AUS,2000,Nuer,255,1.1197825060190275e-05,22812914.0
AUS,2000,"Oceania, nfd",8880,0.00038925320982667973,22812914.0
AUS,2000,Ogaden,11,4.644350135556076e-07,22812914.0
AUS,2000,Omani,199,8.717087946736021e-06,22812914.0
AUS,2000,Oromo,400,1.753392837057116e-05,22812914.0
AUS,2000,Other,18873,0.0008272881743812705,22812914.0
AUS,2000,"Other North African and Middle Eastern, nec (incl. Azande, Beja, Nubian)",289,1.2668263247737663e-05,22812914.0
AUS,2000,"Other North African and Middle Eastern, nfd",97,4.251366662547486e-06,22812914.0
AUS,2000,"Other North-East Asian, nec (incl. Ainu, Menba, Xiareba)",3,1.315044627792837e-07,22812914.0
AUS,2000,"Other North-East Asian, nfd",4,1.753392837057116e-07,22812914.0
AUS,2000,Pakistani,12619,0.0005531516052705936,22812914.0
